Category,Overheads
Salary Expense,29.13
Interest Expense ,0.61
Marketing Expense,0.34
Rental Expense,19.31
Overflow Expense - Retail,0.13
Overflow Expense - Warehouse,0
Penalty Expense,9.54
Depreciation Expense,18.38
Maintenance Expense,5.23
Shipping Expense,0.14
Human Resource Expense,17.21
